epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,4617.2,1.48141,2.11369,0.79934,1.04895,0.85173,0.77902,0.86186,0.50462,0.84736,0.75781,0.84253,0.42617,1.51303,2.24292,0.82089,1.08335,0.0002972,0.0002972,0.0002972
88,4670.6,1.46587,2.08727,0.78589,1.04506,0.85529,0.78323,0.86337,0.50404,0.84856,0.76381,0.8443,0.42825,1.52234,2.24688,0.8126,1.08828,0.0002774,0.0002774,0.0002774
89,4725.08,1.47952,2.09366,0.79237,1.05034,0.84433,0.78603,0.86217,0.50321,0.83643,0.76047,0.83865,0.42458,1.51874,2.24954,0.82146,1.08475,0.0002576,0.0002576,0.0002576
90,4776.64,1.46438,2.08194,0.79243,1.04936,0.84085,0.78223,0.85758,0.50182,0.83767,0.75901,0.83842,0.43048,1.51193,2.25197,0.81841,1.08499,0.0002378,0.0002378,0.0002378
91,4811.4,1.46397,2.07847,0.80516,1.06591,0.85047,0.77529,0.85601,0.49525,0.8417,0.754,0.83318,0.41707,1.52828,2.26719,0.82422,1.09287,0.000218,0.000218,0.000218
92,4842.48,1.46537,2.08196,0.81179,1.07568,0.85475,0.77262,0.86197,0.49859,0.84528,0.7556,0.837,0.41476,1.52053,2.2614,0.82009,1.0905,0.0001982,0.0001982,0.0001982
93,4873.58,1.45883,2.07427,0.79864,1.06319,0.85166,0.77282,0.85507,0.49821,0.84408,0.751,0.8317,0.42143,1.51824,2.26939,0.81968,1.09075,0.0001784,0.0001784,0.0001784
94,4904.18,1.45398,2.07311,0.78972,1.05916,0.86351,0.77482,0.86491,0.49964,0.85494,0.7554,0.84066,0.42186,1.52004,2.26418,0.81828,1.08817,0.0001586,0.0001586,0.0001586
95,4935.99,1.44741,2.06276,0.78944,1.05813,0.85808,0.77456,0.85968,0.50101,0.84702,0.7528,0.83557,0.42122,1.51753,2.25129,0.81727,1.08679,0.0001388,0.0001388,0.0001388
96,4968,1.44704,2.03255,0.80367,1.05542,0.85429,0.77302,0.86105,0.50195,0.84597,0.75304,0.83796,0.42718,1.52115,2.25675,0.81412,1.08805,0.000119,0.000119,0.000119
97,4998.75,1.46104,2.07442,0.7924,1.05226,0.85419,0.77602,0.86116,0.5023,0.85476,0.74449,0.83705,0.4212,1.52088,2.25346,0.81686,1.08755,9.92e-05,9.92e-05,9.92e-05
98,5029.4,1.45347,2.0488,0.78262,1.0565,0.85212,0.77642,0.86179,0.50306,0.85076,0.7492,0.83865,0.4238,1.51531,2.24525,0.81522,1.08502,7.94e-05,7.94e-05,7.94e-05
99,5061.13,1.44776,2.04875,0.79223,1.05616,0.8563,0.77782,0.86344,0.50379,0.8478,0.75818,0.84061,0.42689,1.51383,2.24175,0.81467,1.08347,5.96e-05,5.96e-05,5.96e-05
100,5092.75,1.45362,2.05669,0.77695,1.05423,0.85397,0.77902,0.86154,0.50363,0.84386,0.75721,0.83887,0.42596,1.51572,2.24814,0.81364,1.08409,3.98e-05,3.98e-05,3.98e-05
